 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "Xp",  "Yp"
0.828241,41.8044,-0.202133,1.06173,1043,65,-4.63697,-24.3564,-0.00190306,0.00478102,0.00166795,0.00517412,-0.00229616,1.33934,0.00921328,0.626108,42.8661
1.08979,41.8044,-0.203006,1.06424,1049,65,-4.65704,-24.4138,-0.00183406,0.00482457,0.00178649,0.0052736,-0.00228309,1.32455,0.00890509,0.886786,42.8686
1.35134,41.8044,-0.204299,1.067,1055,65,-4.68659,-24.4771,-0.00173541,0.00499608,0.00184193,0.00546712,-0.00220645,1.32043,0.00846399,1.14704,42.8714
1.61289,41.8044,-0.20473,1.0688,1061,65,-4.69656,-24.5185,-0.00167014,0.00527759,0.00186787,0.00574792,-0.00214047,1.32412,0.00826759,1.40816,42.8732
1.87444,41.8044,-0.204416,1.07057,1067,65,-4.68937,-24.5591,-0.00168368,0.00562025,0.00191947,0.00609396,-0.00215739,1.32884,0.00857416,1.67002,42.875
2.13599,41.8044,-0.204118,1.07306,1073,65,-4.68247,-24.6161,-0.00173054,0.00596312,0.00200732,0.00645535,-0.00222277,1.33032,0.00902286,1.93187,42.8774
2.39754,41.8044,-0.204293,1.07602,1079,65,-4.68652,-24.6841,-0.0017818,0.00631887,0.00208481,0.00682393,-0.00228686,1.33312,0.00945468,2.19325,42.8804
2.65909,41.8044,-0.205278,1.07831,1085,65,-4.70906,-24.7365,-0.00184613,0.00666831,0.00212862,0.00717081,-0.00234863,1.33897,0.00902872,2.45381,42.8827
2.92064,41.8044,-0.206278,1.08022,1091,65,-4.73209,-24.7804,-0.0018922,0.00694184,0.00217457,0.00744811,-0.00239847,1.34206,0.00850445,2.71436,42.8846
3.18219,41.8044,-0.206959,1.08207,1097,65,-4.74766,-24.823,-0.00188042,0.00710244,0.00223859,0.0076294,-0.00240738,1.33961,0.00883265,2.97523,42.8865
3.44374,41.8044,-0.207156,1.08398,1103,65,-4.75225,-24.8667,-0.00187055,0.00715271,0.00230357,0.00770677,-0.00242461,1.33476,0.00866029,3.23658,42.8884
3.70529,41.8044,-0.207614,1.08666,1109,65,-4.76273,-24.9282,-0.00190376,0.00713096,0.00233911,0.00770064,-0.00247344,1.3319,0.00848906,3.49768,42.891
3.96684,41.8044,-0.208263,1.08969,1115,65,-4.77763,-24.9976,-0.00190773,0.00702599,0.00232422,0.00759449,-0.00247623,1.33091,0.00818583,3.75858,42.8941
4.22839,41.8044,-0.209056,1.09242,1121,65,-4.79579,-25.0604,-0.00182529,0.00682076,0.00226509,0.00737823,-0.00238275,1.32948,0.00877883,4.01933,42.8968
4.48994,41.8044,-0.20946,1.09473,1127,65,-4.80506,-25.1133,-0.00169602,0.0065537,0.00215639,0.00708335,-0.00222567,1.32994,0.00936252,4.28048,42.8991
4.75149,41.8044,-0.209982,1.09712,1133,65,-4.81707,-25.1681,-0.00161308,0.00629633,0.00202887,0.0067864,-0.00210315,1.33379,0.00942843,4.54151,42.9015
5.01304,41.8044,-0.210663,1.09969,1139,65,-4.83259,-25.2271,-0.00162876,0.00606866,0.00192095,0.00652142,-0.00208152,1.33933,0.00934126,4.80238,42.9041
