 "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "Xp",  "Yp"
-0.833149,1.68322,0.00347092,-0.0241072,-0.000335023,-0.00569652,0.00121912,-7.08327e-05,-0.00596071,0.213406,0.0100481,157,129,1.84554,12.8182,-0.829678,1.65912
-0.814342,1.68322,0.00348157,-0.0239158,-0.00106376,-0.00538877,0.00139589,-0.000652367,-0.00580016,0.286601,0.00975604,167,129,1.8512,12.7164,-0.810861,1.65931
-0.795535,1.68322,0.00345078,-0.0237394,-0.00173738,-0.0050251,0.00151564,-0.0011453,-0.00561719,0.372419,0.00963202,177,129,1.83484,12.6227,-0.792085,1.65949
-0.776728,1.68322,0.00336385,-0.0235989,-0.0023039,-0.00460713,0.00157299,-0.00150602,-0.00540501,0.46942,0.00948742,187,129,1.78862,12.548,-0.773364,1.65963
-0.757921,1.68322,0.00325696,-0.0235,-0.00270896,-0.00417707,0.00155773,-0.00172099,-0.00516503,0.565214,0.00945113,197,129,1.73177,12.4954,-0.754664,1.65972
-0.739114,1.68322,0.00314633,-0.0234702,-0.00291202,-0.00371987,0.0014524,-0.00180842,-0.00482347,0.649772,0.00945022,207,129,1.67296,12.4795,-0.735968,1.65975
-0.720307,1.68322,0.00304643,-0.023473,-0.00289564,-0.00321691,0.00126143,-0.00178466,-0.00432789,0.722066,0.00942954,217,129,1.61984,12.481,-0.717261,1.65975
-0.7015,1.68322,0.00297343,-0.0235443,-0.00264403,-0.0026877,0.0010099,-0.00165573,-0.003676,0.77459,0.00947633,227,129,1.58102,12.5189,-0.698527,1.65968
-0.682693,1.68322,0.0029024,-0.023543,-0.00217145,-0.00215347,0.000713694,-0.00144871,-0.00287621,0.791694,0.00943985,237,129,1.54326,12.5182,-0.679791,1.65968
-0.663886,1.68322,0.00285396,-0.0234907,-0.00152109,-0.00161245,0.000429889,-0.00113446,-0.00199908,0.732465,0.00916505,247,129,1.51751,12.4904,-0.661032,1.65973
-0.645079,1.68322,0.00282506,-0.0234386,-0.000723916,-0.00114753,0.000204527,-0.000641286,-0.00123016,0.383955,0.00891272,257,129,1.50213,12.4627,-0.642254,1.65979
-0.626272,1.68322,0.0028145,-0.0233592,0.000177413,-0.000785238,2.14207e-05,0.000177889,-0.000785714,0.0222371,0.00873185,267,129,1.49653,12.4205,-0.623458,1.65987
-0.607465,1.68322,0.00281238,-0.0233017,0.00107806,-0.000508908,-0.000124778,0.00108781,-0.000518659,-0.077988,0.00856032,277,129,1.4954,12.3899,-0.604653,1.65992
-0.588658,1.68322,0.00284441,-0.0233012,0.00187263,-0.000332004,-0.000234654,0.00189733,-0.000356703,-0.104871,0.00845084,287,129,1.51242,12.3896,-0.585814,1.65992
-0.569852,1.68322,0.00288642,-0.023323,0.00250298,-0.000229854,-0.000310652,0.00253785,-0.000264722,-0.111774,0.00854094,297,129,1.53477,12.4013,-0.566965,1.6599
