"Average",,,,,,,,,,,"R0",,,,,,,,,,"Analog",,
"Index [1]","X [mm]","Y [mm]","U [mm]","V [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","U [mm]","V [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","Time_0","deplacement_(mm)","Charge_(KN)"
61,-3.33674,-0.789118,0.0526442,0.310413,-0.000548086,0.00205719,0.000215452,0.00209444,-0.000585346,0.98625,-2.96421,0.0873111,0.0708269,0.309591,-0.000537258,0.00226142,0.000274571,0.0023016,-0.000577435,1.20479,113.947,0.8889,3.5991
62,-3.33674,-0.789118,0.0529596,0.318537,-0.000557764,0.00209121,0.000217497,0.00212915,-0.000595709,0.973885,-2.96421,0.0873111,0.0711982,0.317718,-0.000545144,0.00229553,0.000277342,0.00233609,-0.000585702,1.21115,114.54,0.9076,3.6783
63,-3.33674,-0.789118,0.0523912,0.326287,-0.000566248,0.00212829,0.000221569,0.00216751,-0.000605468,0.968507,-2.96421,0.0873111,0.0707228,0.325485,-0.000557477,0.00233326,0.00027968,0.00237422,-0.000598441,1.20146,115.13,0.9259,3.7595
64,-3.33674,-0.789118,0.0526836,0.333978,-0.000572408,0.00216185,0.000222404,0.0022008,-0.000611374,0.968931,-2.96421,0.0873111,0.0711334,0.333189,-0.00056099,0.00236902,0.000281617,0.00241022,-0.000602191,1.19978,115.735,0.9404,3.8329
65,-3.33674,-0.789118,0.0518964,0.341692,-0.000583517,0.00220233,0.000224522,0.00224162,-0.000622812,0.976665,-2.96421,0.0873111,0.07043,0.340922,-0.000570316,0.00240547,0.000284001,0.00244694,-0.00061179,1.19428,116.352,0.9655,3.9131
66,-3.33674,-0.789118,0.0511635,0.357259,-0.000600135,0.00227685,0.000231472,0.00231676,-0.000640039,0.966052,-2.96421,0.0873111,0.0698897,0.35649,-0.000588516,0.00248334,0.00029155,0.00252562,-0.000630789,1.18961,117.414,1.0039,4.0503
67,-3.33674,-0.789118,0.0495092,0.373046,-0.000619859,0.00235299,0.000235865,0.00239416,-0.000661009,0.952147,-2.96421,0.0873111,0.0684142,0.372349,-0.000609494,0.00255758,0.000298238,0.00260084,-0.000652747,1.17875,118.415,1.038,4.1778
68,-3.33674,-0.789118,0.048395,0.384995,-0.000632142,0.0024113,0.000238536,0.00245292,-0.00067377,0.949864,-2.96421,0.0873111,0.0674352,0.384325,-0.00062204,0.00261997,0.000300279,0.00266349,-0.000665547,1.18594,119.176,1.0625,4.2686
69,-3.33674,-0.789118,0.0436902,0.404162,-0.000657542,0.00250211,0.000245975,0.00254503,-0.000700483,0.942962,-2.96421,0.0873111,0.0629181,0.403592,-0.000645796,0.00271138,0.000305731,0.00275598,-0.000690407,1.16526,120.407,1.1027,4.4213
70,-3.33674,-0.789118,0.04265,0.419486,-0.000680723,0.00258347,0.000250815,0.00262738,-0.000724641,0.912043,-2.96421,0.0873111,0.0619907,0.418919,-0.000672053,0.00279009,0.000312524,0.00283574,-0.000717714,1.1396,121.443,1.1379,4.5633
71,-3.33674,-0.789118,0.0406201,0.432515,-0.00069607,0.00263941,0.000255225,0.00268443,-0.000741085,0.899974,-2.96421,0.0873111,0.0600592,0.431817,-0.000689122,0.00284456,0.00031754,0.00289098,-0.000735545,1.13209,122.249,1.1636,4.6686
72,-3.33674,-0.789118,0.0384015,0.443588,-0.000717657,0.00269653,0.000258141,0.00274126,-0.000762374,0.916219,-2.96421,0.0873111,0.0579106,0.442929,-0.000705512,0.00290234,0.000320142,0.00294875,-0.000751917,1.1437,122.983,1.1929,4.7701
73,-3.33674,-0.789118,0.035836,0.457055,-0.00073785,0.00275803,0.00026288,0.00280394,-0.000783761,0.909631,-2.96421,0.0873111,0.055411,0.456374,-0.000728991,0.00296299,0.000325165,0.0030102,-0.000776186,1.14813,123.834,1.2197,4.8744
74,-3.33674,-0.789118,0.0324734,0.470923,-0.00075267,0.00282159,0.000267875,0.00286855,-0.000799647,0.892078,-2.96421,0.0873111,0.0521252,0.470233,-0.00074484,0.00302571,0.000331776,0.00307421,-0.000793336,1.12381,124.708,1.2474,5.002
75,-3.33674,-0.789118,0.0306266,0.484337,-0.000779908,0.00289176,0.000272453,0.00293936,-0.000827497,0.901638,-2.96421,0.0873111,0.0503294,0.483639,-0.000775009,0.00309112,0.000335632,0.00314011,-0.000824003,1.12878,125.527,1.2725,5.1054
76,-3.33674,-0.789118,0.0275061,0.497287,-0.000804694,0.0029517,0.000278481,0.00300045,-0.000853439,0.907898,-2.96421,0.0873111,0.0472842,0.496632,-0.000798126,0.00315612,0.000342876,0.00320609,-0.000848099,1.13404,126.374,1.3024,5.2271
